// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\307cd3c4-361e-42ac-888a-7a2999f2a714
// command took 1,42s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\307cd3c4-361e-42ac-888a-7a2999f2a714
// command took 2,44s and exited with 0
// ***** Done, took 00:00:03 (3.98 sec)   *****
// Found 6 benchmarks:
//   BenchMarkExecutor.FindItemForeach: DefaultJob
//   BenchMarkExecutor.FindItemFor: DefaultJob
//   BenchMarkExecutor.FindItemForList: DefaultJob
//   BenchMarkExecutor.FindItemLinq: DefaultJob
//   BenchMarkExecutor.getArrayListItem: DefaultJob
//   BenchMarkExecutor.getArrayListItemEquals: DefaultJob

// **************************
// Benchmark: BenchMarkExecutor.FindItemForeach: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "307cd3c4-361e-42ac-888a-7a2999f2a714.dll" --benchmarkName "DALMentoring.Collections.BenchMarkExecutor.FindItemForeach" --job "Default" --benchmarkId 0 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\307cd3c4-361e-42ac-888a-7a2999f2a714\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 270000.00 ns, 270.0000 us/op
WorkloadJitting  1: 1 op, 805400.00 ns, 805.4000 us/op

OverheadJitting  2: 16 op, 218700.00 ns, 13.6687 us/op
WorkloadJitting  2: 16 op, 208900.00 ns, 13.0563 us/op

WorkloadPilot    1: 16 op, 1300.00 ns, 81.2500 ns/op
WorkloadPilot    2: 32 op, 1600.00 ns, 50.0000 ns/op
WorkloadPilot    3: 64 op, 2400.00 ns, 37.5000 ns/op
WorkloadPilot    4: 128 op, 4300.00 ns, 33.5938 ns/op
WorkloadPilot    5: 256 op, 8100.00 ns, 31.6406 ns/op
WorkloadPilot    6: 512 op, 16000.00 ns, 31.2500 ns/op
WorkloadPilot    7: 1024 op, 30600.00 ns, 29.8828 ns/op
WorkloadPilot    8: 2048 op, 62000.00 ns, 30.2734 ns/op
WorkloadPilot    9: 4096 op, 120700.00 ns, 29.4678 ns/op
WorkloadPilot   10: 8192 op, 238200.00 ns, 29.0771 ns/op
WorkloadPilot   11: 16384 op, 482000.00 ns, 29.4189 ns/op
WorkloadPilot   12: 32768 op, 986800.00 ns, 30.1147 ns/op
WorkloadPilot   13: 65536 op, 2008700.00 ns, 30.6503 ns/op
WorkloadPilot   14: 131072 op, 3748600.00 ns, 28.5995 ns/op
WorkloadPilot   15: 262144 op, 7939700.00 ns, 30.2876 ns/op
WorkloadPilot   16: 524288 op, 15052900.00 ns, 28.7111 ns/op
WorkloadPilot   17: 1048576 op, 30537400.00 ns, 29.1227 ns/op
WorkloadPilot   18: 2097152 op, 61052400.00 ns, 29.1121 ns/op
WorkloadPilot   19: 4194304 op, 115855000.00 ns, 27.6220 ns/op
WorkloadPilot   20: 8388608 op, 205693800.00 ns, 24.5206 ns/op
WorkloadPilot   21: 16777216 op, 406908300.00 ns, 24.2536 ns/op
WorkloadPilot   22: 33554432 op, 812837700.00 ns, 24.2245 ns/op

OverheadWarmup   1: 33554432 op, 60981700.00 ns, 1.8174 ns/op
OverheadWarmup   2: 33554432 op, 61702300.00 ns, 1.8389 ns/op
OverheadWarmup   3: 33554432 op, 61092400.00 ns, 1.8207 ns/op
OverheadWarmup   4: 33554432 op, 61227400.00 ns, 1.8247 ns/op
OverheadWarmup   5: 33554432 op, 61091800.00 ns, 1.8207 ns/op

OverheadActual   1: 33554432 op, 61095000.00 ns, 1.8208 ns/op
OverheadActual   2: 33554432 op, 61242700.00 ns, 1.8252 ns/op
OverheadActual   3: 33554432 op, 62050700.00 ns, 1.8493 ns/op
OverheadActual   4: 33554432 op, 62540100.00 ns, 1.8638 ns/op
OverheadActual   5: 33554432 op, 62527100.00 ns, 1.8635 ns/op
OverheadActual   6: 33554432 op, 58200500.00 ns, 1.7345 ns/op
OverheadActual   7: 33554432 op, 55688100.00 ns, 1.6596 ns/op
OverheadActual   8: 33554432 op, 55717900.00 ns, 1.6605 ns/op
OverheadActual   9: 33554432 op, 55732200.00 ns, 1.6609 ns/op
OverheadActual  10: 33554432 op, 55715200.00 ns, 1.6604 ns/op
OverheadActual  11: 33554432 op, 55719000.00 ns, 1.6606 ns/op
OverheadActual  12: 33554432 op, 55781100.00 ns, 1.6624 ns/op
OverheadActual  13: 33554432 op, 55759400.00 ns, 1.6618 ns/op
OverheadActual  14: 33554432 op, 55735300.00 ns, 1.6610 ns/op
OverheadActual  15: 33554432 op, 55215800.00 ns, 1.6456 ns/op
OverheadActual  16: 33554432 op, 55085800.00 ns, 1.6417 ns/op
OverheadActual  17: 33554432 op, 55541700.00 ns, 1.6553 ns/op

WorkloadWarmup   1: 33554432 op, 839466900.00 ns, 25.0181 ns/op
WorkloadWarmup   2: 33554432 op, 841337300.00 ns, 25.0738 ns/op
WorkloadWarmup   3: 33554432 op, 835016000.00 ns, 24.8854 ns/op
WorkloadWarmup   4: 33554432 op, 832888400.00 ns, 24.8220 ns/op
WorkloadWarmup   5: 33554432 op, 839438800.00 ns, 25.0172 ns/op
WorkloadWarmup   6: 33554432 op, 848573800.00 ns, 25.2895 ns/op
WorkloadWarmup   7: 33554432 op, 838470200.00 ns, 24.9884 ns/op

// BeforeActualRun
WorkloadActual   1: 33554432 op, 841482600.00 ns, 25.0781 ns/op
WorkloadActual   2: 33554432 op, 829624400.00 ns, 24.7247 ns/op
WorkloadActual   3: 33554432 op, 827052800.00 ns, 24.6481 ns/op
WorkloadActual   4: 33554432 op, 836778200.00 ns, 24.9379 ns/op
WorkloadActual   5: 33554432 op, 852700700.00 ns, 25.4125 ns/op
WorkloadActual   6: 33554432 op, 841102900.00 ns, 25.0668 ns/op
WorkloadActual   7: 33554432 op, 847938400.00 ns, 25.2705 ns/op
WorkloadActual   8: 33554432 op, 843235500.00 ns, 25.1304 ns/op
WorkloadActual   9: 33554432 op, 843192800.00 ns, 25.1291 ns/op
WorkloadActual  10: 33554432 op, 830616900.00 ns, 24.7543 ns/op
WorkloadActual  11: 33554432 op, 827726200.00 ns, 24.6682 ns/op
WorkloadActual  12: 33554432 op, 844793600.00 ns, 25.1768 ns/op
WorkloadActual  13: 33554432 op, 837606300.00 ns, 24.9626 ns/op
WorkloadActual  14: 33554432 op, 844149100.00 ns, 25.1576 ns/op
WorkloadActual  15: 33554432 op, 832174900.00 ns, 24.8007 ns/op

// AfterActualRun
WorkloadResult   1: 33554432 op, 785747300.00 ns, 23.4171 ns/op
WorkloadResult   2: 33554432 op, 773889100.00 ns, 23.0637 ns/op
WorkloadResult   3: 33554432 op, 771317500.00 ns, 22.9871 ns/op
WorkloadResult   4: 33554432 op, 781042900.00 ns, 23.2769 ns/op
WorkloadResult   5: 33554432 op, 796965400.00 ns, 23.7514 ns/op
WorkloadResult   6: 33554432 op, 785367600.00 ns, 23.4058 ns/op
WorkloadResult   7: 33554432 op, 792203100.00 ns, 23.6095 ns/op
WorkloadResult   8: 33554432 op, 787500200.00 ns, 23.4693 ns/op
WorkloadResult   9: 33554432 op, 787457500.00 ns, 23.4681 ns/op
WorkloadResult  10: 33554432 op, 774881600.00 ns, 23.0933 ns/op
WorkloadResult  11: 33554432 op, 771990900.00 ns, 23.0071 ns/op
WorkloadResult  12: 33554432 op, 789058300.00 ns, 23.5158 ns/op
WorkloadResult  13: 33554432 op, 781871000.00 ns, 23.3016 ns/op
WorkloadResult  14: 33554432 op, 788413800.00 ns, 23.4966 ns/op
WorkloadResult  15: 33554432 op, 776439600.00 ns, 23.1397 ns/op
GC:  0 0 0 0 33554432
Threading:  2 0 33554432

// AfterAll
// Benchmark Process 1548 has exited with code 0

Mean = 23.334 ns, StdErr = 0.060 ns (0.26%), N = 15, StdDev = 0.233 ns
Min = 22.987 ns, Q1 = 23.116 ns, Median = 23.406 ns, Q3 = 23.483 ns, Max = 23.751 ns
IQR = 0.366 ns, LowerFence = 22.567 ns, UpperFence = 24.033 ns
ConfidenceInterval = [23.085 ns; 23.582 ns] (CI 99.9%), Margin = 0.249 ns (1.07% of Mean)
Skewness = -0.04, Kurtosis = 1.7, MValue = 2

// **************************
// Benchmark: BenchMarkExecutor.FindItemFor: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "307cd3c4-361e-42ac-888a-7a2999f2a714.dll" --benchmarkName "DALMentoring.Collections.BenchMarkExecutor.FindItemFor" --job "Default" --benchmarkId 1 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\307cd3c4-361e-42ac-888a-7a2999f2a714\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 278300.00 ns, 278.3000 us/op
WorkloadJitting  1: 1 op, 953300.00 ns, 953.3000 us/op

OverheadJitting  2: 16 op, 219000.00 ns, 13.6875 us/op
WorkloadJitting  2: 16 op, 207300.00 ns, 12.9563 us/op

WorkloadPilot    1: 16 op, 1200.00 ns, 75.0000 ns/op
WorkloadPilot    2: 32 op, 1400.00 ns, 43.7500 ns/op
WorkloadPilot    3: 64 op, 2400.00 ns, 37.5000 ns/op
WorkloadPilot    4: 128 op, 4200.00 ns, 32.8125 ns/op
WorkloadPilot    5: 256 op, 8200.00 ns, 32.0312 ns/op
WorkloadPilot    6: 512 op, 16600.00 ns, 32.4219 ns/op
WorkloadPilot    7: 1024 op, 30100.00 ns, 29.3945 ns/op
WorkloadPilot    8: 2048 op, 66900.00 ns, 32.6660 ns/op
WorkloadPilot    9: 4096 op, 118400.00 ns, 28.9062 ns/op
WorkloadPilot   10: 8192 op, 253000.00 ns, 30.8838 ns/op
WorkloadPilot   11: 16384 op, 513000.00 ns, 31.3110 ns/op
WorkloadPilot   12: 32768 op, 1030200.00 ns, 31.4392 ns/op
WorkloadPilot   13: 65536 op, 1886000.00 ns, 28.7781 ns/op
WorkloadPilot   14: 131072 op, 3861300.00 ns, 29.4594 ns/op
WorkloadPilot   15: 262144 op, 7728300.00 ns, 29.4811 ns/op
WorkloadPilot   16: 524288 op, 15708600.00 ns, 29.9618 ns/op
WorkloadPilot   17: 1048576 op, 30689200.00 ns, 29.2675 ns/op
WorkloadPilot   18: 2097152 op, 60223800.00 ns, 28.7169 ns/op
WorkloadPilot   19: 4194304 op, 112062100.00 ns, 26.7177 ns/op
WorkloadPilot   20: 8388608 op, 223149300.00 ns, 26.6015 ns/op
WorkloadPilot   21: 16777216 op, 445993100.00 ns, 26.5833 ns/op
WorkloadPilot   22: 33554432 op, 896083500.00 ns, 26.7054 ns/op

OverheadWarmup   1: 33554432 op, 62594200.00 ns, 1.8655 ns/op
OverheadWarmup   2: 33554432 op, 62577800.00 ns, 1.8650 ns/op
OverheadWarmup   3: 33554432 op, 62680600.00 ns, 1.8680 ns/op
OverheadWarmup   4: 33554432 op, 62606300.00 ns, 1.8658 ns/op
OverheadWarmup   5: 33554432 op, 62594500.00 ns, 1.8655 ns/op
OverheadWarmup   6: 33554432 op, 62592100.00 ns, 1.8654 ns/op
OverheadWarmup   7: 33554432 op, 61291900.00 ns, 1.8266 ns/op
OverheadWarmup   8: 33554432 op, 55727800.00 ns, 1.6608 ns/op
OverheadWarmup   9: 33554432 op, 55724300.00 ns, 1.6607 ns/op
OverheadWarmup  10: 33554432 op, 55762500.00 ns, 1.6619 ns/op

OverheadActual   1: 33554432 op, 55857100.00 ns, 1.6647 ns/op
OverheadActual   2: 33554432 op, 55758500.00 ns, 1.6617 ns/op
OverheadActual   3: 33554432 op, 55753300.00 ns, 1.6616 ns/op
OverheadActual   4: 33554432 op, 55763600.00 ns, 1.6619 ns/op
OverheadActual   5: 33554432 op, 55754900.00 ns, 1.6616 ns/op
OverheadActual   6: 33554432 op, 55737700.00 ns, 1.6611 ns/op
