// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\5823be10-79e9-4ec5-a28e-d0e1509e4f22
// command took 1,45s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\5823be10-79e9-4ec5-a28e-d0e1509e4f22
// command took 2,43s and exited with 0
// ***** Done, took 00:00:04 (4.08 sec)   *****
// Found 6 benchmarks:
//   BenchMarkExecutor.FindItemForeach: DefaultJob
//   BenchMarkExecutor.FindItemFor: DefaultJob
//   BenchMarkExecutor.FindItemForList: DefaultJob
//   BenchMarkExecutor.FindItemLinq: DefaultJob
//   BenchMarkExecutor.getArrayListItem: DefaultJob
//   BenchMarkExecutor.getArrayListItemEquals: DefaultJob

// **************************
// Benchmark: BenchMarkExecutor.FindItemForeach: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "5823be10-79e9-4ec5-a28e-d0e1509e4f22.dll" --benchmarkName "DALMentoring.Collections.BenchMarkExecutor.FindItemForeach" --job "Default" --benchmarkId 0 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\5823be10-79e9-4ec5-a28e-d0e1509e4f22\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 269500.00 ns, 269.5000 us/op
WorkloadJitting  1: 1 op, 801200.00 ns, 801.2000 us/op

OverheadJitting  2: 16 op, 220800.00 ns, 13.8000 us/op
WorkloadJitting  2: 16 op, 212600.00 ns, 13.2875 us/op

WorkloadPilot    1: 16 op, 1200.00 ns, 75.0000 ns/op
WorkloadPilot    2: 32 op, 1500.00 ns, 46.8750 ns/op
WorkloadPilot    3: 64 op, 2800.00 ns, 43.7500 ns/op
WorkloadPilot    4: 128 op, 4300.00 ns, 33.5938 ns/op
WorkloadPilot    5: 256 op, 8300.00 ns, 32.4219 ns/op
WorkloadPilot    6: 512 op, 15800.00 ns, 30.8594 ns/op
WorkloadPilot    7: 1024 op, 31400.00 ns, 30.6641 ns/op
WorkloadPilot    8: 2048 op, 62000.00 ns, 30.2734 ns/op
WorkloadPilot    9: 4096 op, 123500.00 ns, 30.1514 ns/op
WorkloadPilot   10: 8192 op, 238300.00 ns, 29.0894 ns/op
WorkloadPilot   11: 16384 op, 475100.00 ns, 28.9978 ns/op
WorkloadPilot   12: 32768 op, 993500.00 ns, 30.3192 ns/op
WorkloadPilot   13: 65536 op, 1981000.00 ns, 30.2277 ns/op
WorkloadPilot   14: 131072 op, 3919000.00 ns, 29.8996 ns/op
WorkloadPilot   15: 262144 op, 7541600.00 ns, 28.7689 ns/op
WorkloadPilot   16: 524288 op, 15652400.00 ns, 29.8546 ns/op
WorkloadPilot   17: 1048576 op, 30705600.00 ns, 29.2831 ns/op
WorkloadPilot   18: 2097152 op, 61281000.00 ns, 29.2211 ns/op
WorkloadPilot   19: 4194304 op, 114043600.00 ns, 27.1901 ns/op
