// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 7 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\7f1f0dc7-5b9b-4aa0-a06a-6fc190f22dcc
// command took 1,56s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\7f1f0dc7-5b9b-4aa0-a06a-6fc190f22dcc
// command took 2,7s and exited with 0
// ***** Done, took 00:00:04 (4.46 sec)   *****
// Found 7 benchmarks:
//   BenchMarkExecutor.FindItemForeachArray: DefaultJob
//   BenchMarkExecutor.FindItemForArray: DefaultJob
//   BenchMarkExecutor.FindItemForListArray: DefaultJob
//   BenchMarkExecutor.FindItemLinqListArray: DefaultJob
//   BenchMarkExecutor.getArrayListItem: DefaultJob
//   BenchMarkExecutor.getArrayListItemEquals: DefaultJob
//   BenchMarkExecutor.getArrayListItemIndexOf: DefaultJob

// **************************
// Benchmark: BenchMarkExecutor.FindItemForeachArray: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "7f1f0dc7-5b9b-4aa0-a06a-6fc190f22dcc.dll" --benchmarkName "DALMentoring.Collections.BenchMarkExecutor.FindItemForeachArray" --job "Default" --benchmarkId 0 in D:\Proyectos\Mentoring\Mentoring\bin\Release\netcoreapp3.1\7f1f0dc7-5b9b-4aa0-a06a-6fc190f22dcc\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 265800.00 ns, 265.8000 us/op
WorkloadJitting  1: 1 op, 810900.00 ns, 810.9000 us/op

OverheadJitting  2: 16 op, 223900.00 ns, 13.9938 us/op
WorkloadJitting  2: 16 op, 235400.00 ns, 14.7125 us/op

WorkloadPilot    1: 16 op, 1400.00 ns, 87.5000 ns/op
WorkloadPilot    2: 32 op, 1600.00 ns, 50.0000 ns/op
WorkloadPilot    3: 64 op, 2400.00 ns, 37.5000 ns/op
WorkloadPilot    4: 128 op, 4300.00 ns, 33.5938 ns/op
WorkloadPilot    5: 256 op, 8000.00 ns, 31.2500 ns/op
WorkloadPilot    6: 512 op, 15900.00 ns, 31.0547 ns/op
WorkloadPilot    7: 1024 op, 31400.00 ns, 30.6641 ns/op
WorkloadPilot    8: 2048 op, 64200.00 ns, 31.3477 ns/op
WorkloadPilot    9: 4096 op, 123500.00 ns, 30.1514 ns/op
WorkloadPilot   10: 8192 op, 247700.00 ns, 30.2368 ns/op
WorkloadPilot   11: 16384 op, 495300.00 ns, 30.2307 ns/op
WorkloadPilot   12: 32768 op, 940900.00 ns, 28.7140 ns/op
WorkloadPilot   13: 65536 op, 1892700.00 ns, 28.8803 ns/op
WorkloadPilot   14: 131072 op, 3924300.00 ns, 29.9400 ns/op
WorkloadPilot   15: 262144 op, 7924600.00 ns, 30.2299 ns/op
WorkloadPilot   16: 524288 op, 15265600.00 ns, 29.1168 ns/op
WorkloadPilot   17: 1048576 op, 31036900.00 ns, 29.5991 ns/op
WorkloadPilot   18: 2097152 op, 60681900.00 ns, 28.9354 ns/op
WorkloadPilot   19: 4194304 op, 110973900.00 ns, 26.4582 ns/op
WorkloadPilot   20: 8388608 op, 210164200.00 ns, 25.0535 ns/op
WorkloadPilot   21: 16777216 op, 424640500.00 ns, 25.3105 ns/op
WorkloadPilot   22: 33554432 op, 839846500.00 ns, 25.0294 ns/op

OverheadWarmup   1: 33554432 op, 62591100.00 ns, 1.8654 ns/op
OverheadWarmup   2: 33554432 op, 62778500.00 ns, 1.8709 ns/op
OverheadWarmup   3: 33554432 op, 62593000.00 ns, 1.8654 ns/op
OverheadWarmup   4: 33554432 op, 63488300.00 ns, 1.8921 ns/op
OverheadWarmup   5: 33554432 op, 63115100.00 ns, 1.8810 ns/op

OverheadActual   1: 33554432 op, 65339900.00 ns, 1.9473 ns/op
OverheadActual   2: 33554432 op, 63137800.00 ns, 1.8817 ns/op
OverheadActual   3: 33554432 op, 62623200.00 ns, 1.8663 ns/op
OverheadActual   4: 33554432 op, 62680800.00 ns, 1.8680 ns/op
OverheadActual   5: 33554432 op, 62974900.00 ns, 1.8768 ns/op
OverheadActual   6: 33554432 op, 56218400.00 ns, 1.6754 ns/op
OverheadActual   7: 33554432 op, 56238600.00 ns, 1.6760 ns/op
OverheadActual   8: 33554432 op, 56509500.00 ns, 1.6841 ns/op
OverheadActual   9: 33554432 op, 55912600.00 ns, 1.6663 ns/op
OverheadActual  10: 33554432 op, 55841000.00 ns, 1.6642 ns/op
OverheadActual  11: 33554432 op, 58135700.00 ns, 1.7326 ns/op
OverheadActual  12: 33554432 op, 56288700.00 ns, 1.6775 ns/op
OverheadActual  13: 33554432 op, 56274600.00 ns, 1.6771 ns/op
OverheadActual  14: 33554432 op, 56201000.00 ns, 1.6749 ns/op
OverheadActual  15: 33554432 op, 56158000.00 ns, 1.6736 ns/op
OverheadActual  16: 33554432 op, 56341700.00 ns, 1.6791 ns/op
OverheadActual  17: 33554432 op, 56220400.00 ns, 1.6755 ns/op
OverheadActual  18: 33554432 op, 56225600.00 ns, 1.6757 ns/op
OverheadActual  19: 33554432 op, 60605100.00 ns, 1.8062 ns/op
OverheadActual  20: 33554432 op, 56239900.00 ns, 1.6761 ns/op

WorkloadWarmup   1: 33554432 op, 849921200.00 ns, 25.3296 ns/op
WorkloadWarmup   2: 33554432 op, 873355100.00 ns, 26.0280 ns/op
WorkloadWarmup   3: 33554432 op, 842162200.00 ns, 25.0984 ns/op
WorkloadWarmup   4: 33554432 op, 833312700.00 ns, 24.8347 ns/op
WorkloadWarmup   5: 33554432 op, 835870300.00 ns, 24.9109 ns/op
WorkloadWarmup   6: 33554432 op, 840648800.00 ns, 25.0533 ns/op
WorkloadWarmup   7: 33554432 op, 837584500.00 ns, 24.9620 ns/op

// BeforeActualRun
WorkloadActual   1: 33554432 op, 831189300.00 ns, 24.7714 ns/op
WorkloadActual   2: 33554432 op, 841130000.00 ns, 25.0676 ns/op
WorkloadActual   3: 33554432 op, 836439000.00 ns, 24.9278 ns/op
WorkloadActual   4: 33554432 op, 830476300.00 ns, 24.7501 ns/op
WorkloadActual   5: 33554432 op, 835127700.00 ns, 24.8887 ns/op
WorkloadActual   6: 33554432 op, 834257200.00 ns, 24.8628 ns/op
WorkloadActual   7: 33554432 op, 841469800.00 ns, 25.0778 ns/op
WorkloadActual   8: 33554432 op, 957453000.00 ns, 28.5343 ns/op
WorkloadActual   9: 33554432 op, 858924600.00 ns, 25.5979 ns/op
WorkloadActual  10: 33554432 op, 849490200.00 ns, 25.3168 ns/op
WorkloadActual  11: 33554432 op, 852270700.00 ns, 25.3996 ns/op
WorkloadActual  12: 33554432 op, 848168100.00 ns, 25.2774 ns/op
WorkloadActual  13: 33554432 op, 857206100.00 ns, 25.5467 ns/op
WorkloadActual  14: 33554432 op, 858227500.00 ns, 25.5772 ns/op
WorkloadActual  15: 33554432 op, 841289900.00 ns, 25.0724 ns/op

// AfterActualRun
WorkloadResult   1: 33554432 op, 774907650.00 ns, 23.0940 ns/op
WorkloadResult   2: 33554432 op, 784848350.00 ns, 23.3903 ns/op
WorkloadResult   3: 33554432 op, 780157350.00 ns, 23.2505 ns/op
WorkloadResult   4: 33554432 op, 774194650.00 ns, 23.0728 ns/op
WorkloadResult   5: 33554432 op, 778846050.00 ns, 23.2114 ns/op
WorkloadResult   6: 33554432 op, 777975550.00 ns, 23.1855 ns/op
